"","currImg","subj","resp","corrQuad","distToMiddle","meanSD","howManyCorr","isColSame","isSizeSame","isPulseSame"
"1",1,5,"A","B",0.133365465669452,17.9825691163227,2,1,1,0
"2",1,8,"A","B",0.133365465669452,17.9825691163227,2,1,1,0
"3",1,12,"A","B",0.133365465669452,17.9825691163227,2,1,1,0
"4",1,14,"A","B",0.133365465669452,17.9825691163227,2,1,1,0
"5",1,15,"B","B",0.133365465669452,17.9825691163227,2,1,1,0
"6",1,19,"A","B",0.133365465669452,17.9825691163227,2,1,1,0
"7",1,20,"B","B",0.133365465669452,17.9825691163227,2,1,1,0
"8",1,25,"A","B",0.133365465669452,17.9825691163227,2,1,1,0
"9",1,29,"D","B",0.133365465669452,17.9825691163227,2,1,1,0
"10",1,30,"A","B",0.133365465669452,17.9825691163227,2,1,1,0
"11",1,33,"B","B",0.133365465669452,17.9825691163227,2,1,1,0
"12",1,34,"B","B",0.133365465669452,17.9825691163227,2,1,1,0
"13",1,41,"A","B",0.133365465669452,17.9825691163227,2,1,1,0
"14",1,42,"A","B",0.133365465669452,17.9825691163227,2,1,1,0
"15",1,43,"A","B",0.133365465669452,17.9825691163227,2,1,1,0
"16",1,44,"A","B",0.133365465669452,17.9825691163227,2,1,1,0
"17",1,47,"A","B",0.133365465669452,17.9825691163227,2,1,1,0
"18",1,49,"A","B",0.133365465669452,17.9825691163227,2,1,1,0
"19",1,52,"A","B",0.133365465669452,17.9825691163227,2,1,1,0
"20",2,1,"B","B",0.138797361404519,15.6185924281566,1,0,1,0
"21",2,3,"D","B",0.138797361404519,15.6185924281566,1,0,1,0
"22",2,4,"C","B",0.138797361404519,15.6185924281566,1,0,1,0
"23",2,6,"C","B",0.138797361404519,15.6185924281566,1,0,1,0
"24",2,9,"D","B",0.138797361404519,15.6185924281566,1,0,1,0
"25",2,11,"B","B",0.138797361404519,15.6185924281566,1,0,1,0
"26",2,13,"C","B",0.138797361404519,15.6185924281566,1,0,1,0
"27",2,14,"D","B",0.138797361404519,15.6185924281566,1,0,1,0
"28",2,16,"B","B",0.138797361404519,15.6185924281566,1,0,1,0
"29",2,19,"D","B",0.138797361404519,15.6185924281566,1,0,1,0
"30",2,20,"D","B",0.138797361404519,15.6185924281566,1,0,1,0
